30,33
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
3,22,13,13,13,13,13,13,13,13,13,13,13,13,23,22,13,13,13,13,13,13,13,13,13,13,13,13,23,4
3,4,50,30,30,30,30,30,30,30,30,30,30,30,3,4,30,30,30,30,30,30,30,30,30,30,30,50,3,4
3,4,30,9,1,1,12,30,9,1,1,1,12,30,3,4,30,9,1,1,1,12,30,9,1,1,12,30,3,4
3,4,30,3,4,4,4,30,3,4,4,4,4,30,3,4,30,3,4,4,4,4,30,3,4,4,4,30,3,4
3,4,30,17,13,13,230,30,17,13,13,13,230,30,17,230,30,17,13,13,13,230,30,17,13,13,230,30,3,4
3,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,4
3,4,30,9,1,1,12,30,9,12,30,9,1,1,1,1,1,1,12,30,9,12,30,9,1,1,12,30,3,4
3,4,30,17,13,13,230,30,3,4,30,17,13,13,23,22,13,13,230,30,3,4,30,17,13,13,230,30,3,4
3,4,30,30,30,30,30,30,3,4,30,30,30,30,3,4,30,30,30,30,3,4,30,30,30,30,30,30,3,4
3,6,1,1,1,1,12,30,3,6,1,1,12,30,3,4,30,9,1,1,7,4,30,9,1,1,12,30,3,4
17,13,13,13,13,23,4,30,3,22,13,13,230,30,17,230,30,17,13,13,23,4,30,3,22,13,230,30,3,4
4,4,4,4,4,3,4,30,3,4,30,30,30,30,30,30,30,30,30,30,3,4,30,3,4,30,30,30,3,4
9,1,1,1,1,7,4,30,3,4,30,9,1,1,2,15,1,1,12,30,3,4,30,3,6,1,12,30,3,4
17,13,13,13,13,13,230,30,17,230,30,3,22,13,7,6,13,23,4,30,17,230,30,17,13,13,230,30,17,230
30,30,40,30,40,30,40,30,30,30,30,3,4,4,4,4,4,3,4,30,30,30,30,40,30,40,30,40,30,30
9,1,1,1,1,1,12,30,9,12,30,3,6,1,1,1,1,7,4,30,9,12,30,9,1,1,1,1,1,12
17,13,13,13,13,23,4,30,3,4,30,17,13,13,13,13,13,13,230,30,3,4,30,3,22,13,13,13,13,230
4,4,4,4,4,3,4,30,3,4,30,30,30,30,30,30,30,30,30,30,3,4,30,3,4,4,4,4,4,4
9,1,1,1,1,7,4,30,3,4,30,9,1,1,1,1,1,1,12,30,3,4,30,3,6,1,1,1,1,12
3,22,13,13,13,13,230,30,17,230,30,17,13,13,23,22,13,13,230,30,17,230,30,17,13,13,13,13,23,4
3,4,30,30,30,30,30,30,30,30,30,30,30,30,3,4,30,30,30,30,30,30,30,30,30,30,30,30,3,4
3,4,30,9,1,1,12,30,9,1,1,1,12,30,3,4,30,9,1,1,1,12,30,9,1,1,12,30,3,4
3,4,30,17,13,23,4,30,17,13,13,13,230,30,17,230,30,17,13,13,13,230,30,3,22,13,230,30,3,4
3,4,30,30,30,3,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,4,30,30,30,3,4
3,6,1,12,30,3,4,30,9,12,30,9,1,1,1,1,1,1,12,30,9,12,30,3,4,30,9,1,7,4
3,22,13,230,30,17,230,30,3,4,30,17,13,13,23,22,13,13,230,30,3,4,30,17,230,30,17,13,23,4
3,4,30,30,30,30,30,30,3,4,30,30,30,30,3,4,30,30,30,30,3,4,30,30,30,30,30,30,3,4
3,4,30,9,1,1,1,1,7,6,1,1,12,30,3,4,30,9,1,1,7,6,1,1,1,1,12,30,3,4
3,4,30,17,13,13,13,13,13,13,13,13,230,30,17,230,30,17,13,13,13,13,13,13,13,13,230,30,3,4
3,4,50,30,30,30,30,30,30,30,30,30,30,30,30,30,60,30,30,30,30,30,30,30,30,30,30,50,3,4
3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4
17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,230
