30,33
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
3,22,13,13,13,13,13,13,13,13,13,13,13,13,23,22,13,13,13,13,13,13,13,13,13,13,13,13,23,4
3,4,50,30,30,30,30,30,30,30,30,30,30,30,3,4,30,30,30,30,30,30,30,30,30,30,30,50,3,4
3,4,30,9,1,1,12,30,9,1,1,1,12,30,3,4,30,9,1,1,1,12,30,9,1,1,12,30,3,4
3,4,30,3,0,0,4,30,3,0,0,0,4,30,3,4,30,3,0,0,0,4,30,3,0,0,4,30,3,4
3,4,30,17,13,13,20,30,17,13,13,13,20,30,17,20,30,17,13,13,13,20,30,17,13,13,20,30,3,4
3,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,4
3,4,30,9,1,1,12,30,9,12,30,9,1,1,1,1,1,1,12,30,9,12,30,9,1,1,12,30,3,4
3,4,30,17,13,13,20,30,3,4,30,17,13,13,23,22,13,13,20,30,3,4,30,17,13,13,20,30,3,4
3,4,30,30,30,30,30,30,3,4,30,30,30,30,3,4,30,30,30,30,3,4,30,30,30,30,30,30,3,4
3,6,1,1,1,1,12,30,3,6,1,1,12,30,3,4,30,9,1,1,7,4,30,9,1,1,12,30,3,4
17,13,13,13,13,23,4,30,3,22,13,13,20,30,17,20,30,17,13,13,23,4,30,3,22,13,20,30,3,4
0,0,0,0,0,3,4,30,3,4,30,30,30,30,30,30,30,30,30,30,3,4,30,3,4,30,30,30,3,4
9,1,1,1,1,7,4,30,3,4,30,9,1,1,2,15,1,1,12,30,3,4,30,3,6,1,12,30,3,4
17,13,13,13,13,13,20,30,17,20,30,3,22,13,0,0,13,23,4,30,17,20,30,17,13,13,20,30,17,20
30,30,40,30,40,30,40,30,30,30,30,3,4,26,27,28,29,3,4,30,30,30,30,40,30,40,30,40,30,30
9,1,1,1,1,1,12,30,9,12,30,3,6,1,1,1,1,7,4,30,9,12,30,9,1,1,1,1,1,12
17,13,13,13,13,23,4,30,3,4,30,17,13,13,13,13,13,13,20,30,3,4,30,3,22,13,13,13,13,20
0,0,0,0,0,3,4,30,3,4,30,30,30,30,30,30,30,30,30,30,3,4,30,3,4,0,0,0,0,0
9,1,1,1,1,7,4,30,3,4,30,9,1,1,1,1,1,1,12,30,3,4,30,3,6,1,1,1,1,12
3,22,13,13,13,13,20,30,17,20,30,17,13,13,23,22,13,13,20,30,17,20,30,17,13,13,13,13,23,4
3,4,30,30,30,30,30,30,30,30,30,30,30,30,3,4,30,30,30,30,30,30,30,30,30,30,30,30,3,4
3,4,30,9,1,1,12,30,9,1,1,1,12,30,3,4,30,9,1,1,1,12,30,9,1,1,12,30,3,4
3,4,30,17,13,23,4,30,17,13,13,13,20,30,17,20,30,17,13,13,13,20,30,3,22,13,20,30,3,4
3,4,30,30,30,3,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,4,30,30,30,3,4
3,6,1,12,30,3,4,30,9,12,30,9,1,1,1,1,1,1,12,30,9,12,30,3,4,30,9,1,7,4
3,22,13,20,30,17,20,30,3,4,30,17,13,13,23,22,13,13,20,30,3,4,30,17,20,30,17,13,23,4
3,4,30,30,30,30,30,30,3,4,30,30,30,30,3,4,30,30,30,30,3,4,30,30,30,30,30,30,3,4
3,4,30,9,1,1,1,1,7,6,1,1,12,30,3,4,30,9,1,1,7,6,1,1,1,1,12,30,3,4
3,4,30,17,13,13,13,13,13,13,13,13,20,30,17,20,30,17,13,13,13,13,13,13,13,13,20,30,3,4
3,4,50,30,30,30,30,30,30,30,30,30,30,30,30,30,60,30,30,30,30,30,30,30,30,30,30,50,3,4
3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4
17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20
